song,artist,hip_hop_rnb,rel_date
Wobble Wobble,504 Boyz,1,2000-04-15
Country Grammar (Hot Shit),Nelly,1,2000-05-27
Flamboyant,Big L,1,2000-06-24
Callin' Me,Lil Zane,1,2000-07-15
Bounce with Me,Lil' Bow Wow,1,2000-08-19
Callin' Me,Lil Zane,1,2000-09-02
Bounce with Me,Lil' Bow Wow,1,2000-09-09
Move Somethin',Talib Kweli,1,2000-10-28
It's OK,Slimm Calhoun,1,2000-11-04
Souljas,Master P,1,2000-11-18
Baby If You're Ready,Doggy's Angels,1,2000-11-25
Oh No,Mos Def,1,2001-01-20
Baby If You're Ready,Doggy's Angels,1,2001-01-27
Ms. Jackson,Outkast,1,2001-02-03
It Wasn't Me,Shaggy,1,2001-02-24
Bow Wow (That's My Name),Lil' Bow Wow,1,2001-03-10
What Would You Do?,City High,1,2001-04-07
My Baby,Lil' Romeo,1,2001-05-19
Purple Pills,D12,1,2001-07-28
My Projects,Coo Coo Cal,1,2001-08-18
Raise Up,Petey Pablo,1,2001-09-15
Self-Destruction,Stop the Violence Movement,1,1989-03-11
Me Myself and I,De La Soul,1,1989-05-20
I'm That Type of Guy,LL Cool J,1,1989-07-15
Fight the Power,Public Enemy,1,1989-07-29
It's Funky Enough,The D.O.C.,1,1989-09-09
Smooth Operator,Big Daddy Kane,1,1989-10-07
Me So Horny,2 Live Crew,1,1989-11-04
Cha Cha Cha,MC Lyte,1,1989-12-02
New Jack Swing,Wrecks-n-Effect,1,1989-12-16
Somebody for Me,Heavy D & the Boyz,1,1989-12-23
The D.O.C. & The Doctor,The D.O.C.,1,1990-01-06
Expression,Salt-n-Pepa,1,1990-01-20
The Humpty Dance,Digital Underground,1,1990-03-17
Murder Rap,Above the Law,1,1990-04-21
Funhouse,Kid 'n Play,1,1990-05-05
911 Is a Joke,Public Enemy,1,1990-05-26
AmeriKKKa's Most Wanted,Ice Cube,1,1990-06-09
The Power,Snap!,1,1990-06-30
We're All in the Same Gang,The West Coast Rap All-Stars,1,1990-07-21
Untouchable,Above the Law,1,1990-08-18
Banned in the U.S.A.,Luke,1,1990-08-25
Call Me D-Nice,D-Nice,1,1990-09-01
Treat Them Like They Want to Be Treated,Father MC,1,1990-09-29
The Boomin' System,LL Cool J,1,1990-10-06
Ice Ice Baby,Vanilla Ice,1,1990-10-20
Knockin' Boots,Candyman,1,1990-10-27
Monie in the Middle,Monie Love,1,1990-12-08
I'll Do 4 U,Father MC,1,1990-12-22
Around the Way Girl,LL Cool J,1,1991-01-12
Gold Digger,EPMD,1,1991-02-09
Treat 'Em Right,Chubb Rock,1,1991-03-02
Looking at the Front Door,Main Source,1,1991-03-23
It's a Shame (My Sister),Monie Love,1,1991-04-13
Daddy's Little Girl,Nikki D,1,1991-04-27
I Got to Have It,Ed O.G.,1,1991-05-11
Mama Said Knock You Out,LL Cool J,1,1991-05-18
You Can't Play with My Yo-Yo,Yo-Yo,1,1991-05-25
Rise 'n' Shine,Kool Moe Dee,1,1991-06-22
Homey Don't Play Dat,Terminator X,1,1991-07-06
Pop Goes the Weasel,3rd Bass,1,1991-07-13
Summertime,DJ Jazzy Jeff & The Fresh Prince,1,1991-07-27
The Chubbster,Chubb Rock,1,1991-08-10
Empire State of Mind,Jay-Z,1,2009-11-21
BedRock,Young Money,1,2010-01-23
Say Something,Timbaland,1,2010-03-27
Nothin' on You,B.o.B ,1,2010-04-24
Over,Drake,1,2010-06-12
Your Love,Nicki Minaj,1,2010-07-10
