song	artist	hip_hop_rnb	genre
Hip Hop Hooray	Naughty By Nature	1	Hip Hop / RnB
Hit Me Off	New Edition	1	Hip Hop / RnB
Hold On	En Vogue	1	Hip Hop / RnB
Hold On, We're Going Home	Drake featuring Majid Jordan	1	Hip Hop / RnB
Hold You Down	DJ Khaled featuring Chris Brown, August Alsina, Future & Jeremih	1	Hip Hop / RnB
Holy Grail	Jay-Z	1	Hip Hop / RnB
Holy Grail	Jay-Z featuring Justin Timberlake	1	Hip Hop / RnB
Home	Stephanie Mills	1	Hip Hop / RnB
Homey Don't Play Dat	Terminator X	1	Hip Hop / RnB
Honey Love	R. Kelly and Public Announcement	1	Hip Hop / RnB
Hot Boy	Bobby Shmurda	1	Hip Hop / RnB
Hot Boyz	Missy Elliott	1	Hip Hop / RnB
Hot Boyz	Missy Elliott featuring Nas, Eve and Q-Tip	1	Hip Hop / RnB
Hot Boyz	Missy Misdemeanor Elliott featuring Nas, Eve and Q-Tip	1	Hip Hop / RnB
Hot in Here	Nelly	1	Hip Hop / RnB
Hot in Herre	Nelly	1	Hip Hop / RnB
Hotline Bling	Drake	1	Hip Hop / RnB
How Can I Ease the Pain	Lisa Fischer	1	Hip Hop / RnB
How Deep Is Your Love	Dru Hill featuring Redman	1	Hip Hop / RnB
How Do U Want It / California Love	2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman	1	Hip Hop / RnB
Humble	Kendrick Lamar	1	Hip Hop / RnB
Humpin' Around	Bobby Brown	1	Hip Hop / RnB
Hypnotize	The Notorious B.I.G.	1	Hip Hop / RnB
I'll Be Good to You	Quincy Jones featuring Ray Charles and Chaka Khan	1	Hip Hop / RnB
I'll Be Missing You	Puff Daddy featuring Faith Evans and 112	1	Hip Hop / RnB
I'll Be There For You / You're All I Need to Get By	Method Man featuring Mary J. Blige	1	Hip Hop / RnB
I'll Do 4 U	Father MC	1	Hip Hop / RnB
I'll Give All My Love to You	Keith Sweat	1	Hip Hop / RnB
I'll Make Love to You	Boyz II Men	1	Hip Hop / RnB
I'll Take You There	BeBe & CeCe Winans	1	Hip Hop / RnB
I'm a Flirt	R. Kelly featuring T.I. and T-Pain or Bow Wow featuring R. Kelly[a]	1	Hip Hop / RnB
I'm Dreamin'	Christopher Williams	1	Hip Hop / RnB
I'm on One	DJ Khaled	1	Hip Hop / RnB
I'm On One	DJ Khaled featuring Drake, Rick Ross & Lil Wayne	1	Hip Hop / RnB
I'm That Type of Guy	LL Cool J	1	Hip Hop / RnB
I'm the One	DJ Khaled	1	Hip Hop / RnB
I'm Your Baby Tonight	Whitney Houston	1	Hip Hop / RnB
I Adore Mi Amore	Color Me Badd	1	Hip Hop / RnB
I Believe I Can Fly	R. Kelly	1	Hip Hop / RnB
I Can't Sleep Baby (If I)	R. Kelly	1	Hip Hop / RnB
I Can't Wait Another Minute	Hi-Five	1	Hip Hop / RnB
I Cry	Flo Rida	1	Hip Hop / RnB
I Don't Fuck with You	Big Sean	1	Hip Hop / RnB
I Don't Mind	Usher featuring Juicy J	1	Hip Hop / RnB
I Get Lonely	Janet and Blackstreet	1	Hip Hop / RnB
I Got to Have It	Ed O.G.	1	Hip Hop / RnB
I Invented Sex	Trey Songz featuring Drake	1	Hip Hop / RnB
I Just Wanna Luv U (Give It 2 Me)	Jay-Z	1	Hip Hop / RnB
I Like It	Cardi B	1	Hip Hop / RnB
I Like the Way (The Kissing Game)	Hi-Five	1	Hip Hop / RnB
I Love Your Smile	Shanice	1	Hip Hop / RnB
I Need a Girl (Part One)	P. Diddy featuring Usher and Loon	1	Hip Hop / RnB
I Remember	Keyshia Cole	1	Hip Hop / RnB
I Think They Like Me	Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow	1	Hip Hop / RnB
I Wanna Be Down	Brandy	1	Hip Hop / RnB
I Wanna Sex You Up	Color Me Badd	1	Hip Hop / RnB
I Want Her	Keith Sweat	1	Hip Hop / RnB
I Will Always Love You	Whitney Houston	1	Hip Hop / RnB
I Wish	Carl Thomas	1	Hip Hop / RnB
I Wish	R. Kelly	1	Hip Hop / RnB
Ice Ice Baby	Vanilla Ice	1	Hip Hop / RnB
If I Ain't Got You	Alicia Keys	1	Hip Hop / RnB
If I Ever Fall in Love	Shai	1	Hip Hop / RnB
If Your Girl Only Knew	Aaliyah	1	Hip Hop / RnB
In da Club	50 Cent	1	Hip Hop / RnB
In My Bed	Dru Hill	1	Hip Hop / RnB
In My Feelings	Drake	1	Hip Hop / RnB
In the Closet	Michael Jackson	1	Hip Hop / RnB
Incomplete	Sisqó	1	Hip Hop / RnB
Independent	Webbie featuring Lil Phat and Lil Boosie	1	Hip Hop / RnB
Independent Women Part I	Destiny's Child	1	Hip Hop / RnB
Irreplaceable	Beyoncé	1	Hip Hop / RnB
iSpy	Kyle	1	Hip Hop / RnB
It's a Shame (My Sister)	Monie Love	1	Hip Hop / RnB
It's Funky Enough	The D.O.C.	1	Hip Hop / RnB
It's Goin' Down	Yung Joc	1	Hip Hop / RnB
It's Gonna Be Alright	Ruby Turner	1	Hip Hop / RnB
It's No Crime	Babyface	1	Hip Hop / RnB
It's OK	Slimm Calhoun	1	Hip Hop / RnB
It's OK	Slimm Calhoun featuring André 3000	1	Hip Hop / RnB
It's Over Now	112	1	Hip Hop / RnB
It's So Hard to Say Goodbye to Yesterday	Boyz II Men	1	Hip Hop / RnB
It Kills Me	Melanie Fiona	1	Hip Hop / RnB
It Never Rains (In Southern California)	Tony! Toni! Toné!	1	Hip Hop / RnB
It Should've Been You	Teddy Pendergrass	1	Hip Hop / RnB
It Wasn't Me	Shaggy	1	Hip Hop / RnB
It Wasn't Me	Shaggy featuring Ricardo Rikrok Ducent	1	Hip Hop / RnB
Jerk Out	The Time	1	Hip Hop / RnB
Joy	Teddy Pendergrass	1	Hip Hop / RnB
Just a Lil Bit	50 Cent	1	Hip Hop / RnB
Just Because	Anita Baker	1	Hip Hop / RnB
Just Coolin'	LeVert	1	Hip Hop / RnB
Just Coolin'	LeVert featuring Heavy D	1	Hip Hop / RnB
Just Got Paid	Johnny Kemp	1	Hip Hop / RnB
Just Kickin' It	Xscape	1	Hip Hop / RnB
Keep It Comin'	Keith Sweat	1	Hip Hop / RnB
Keep On Movin'	Soul II Soul	1	Hip Hop / RnB
Kiss Me Thru the Phone	Soulja Boy featuring Sammie	1	Hip Hop / RnB
Kissing You	Keith Washington	1	Hip Hop / RnB
Knock You Down	Keri Hilson featuring Kanye West and Ne-Yo	1	Hip Hop / RnB
Knockin' Boots	Candyman	1	Hip Hop / RnB
Knockin' Da Boots	H-Town	1	Hip Hop / RnB
Last Night	Az Yet	1	Hip Hop / RnB
Lately	Jodeci	1	Hip Hop / RnB
Lean Back	Terror Squad	1	Hip Hop / RnB
Lean wit It, Rock wit It	Dem Franchize Boyz featuring Lil Peanut and Charlay	1	Hip Hop / RnB
Let's Get Married	Jagged Edge	1	Hip Hop / RnB
Let's Ride	Montell Jordan featuring Master P and Silkk the Shocker	1	Hip Hop / RnB
Let It Go	Keyshia Cole featuring Missy Elliott and Lil' Kim	1	Hip Hop / RnB
Let Me Hold You	Bow Wow featuring Omarion	1	Hip Hop / RnB
Let Me Love You	Mario	1	Hip Hop / RnB
Let the Beat Hit 'Em	Lisa Lisa and Cult Jam	1	Hip Hop / RnB
Liar	Profyle	1	Hip Hop / RnB
Lies	En Vogue	1	Hip Hop / RnB
Lights, Camera, Action!	Mr. Cheeks	1	Hip Hop / RnB
Like You	Bow Wow featuring Ciara	1	Hip Hop / RnB
Like You'll Never See Me Again[3]	Alicia Keys	1	Hip Hop / RnB
Little Walter	Tony! Toni! Toné!	1	Hip Hop / RnB
Live Your Life	T.I. featuring Rihanna	1	Hip Hop / RnB
Lollipop	Lil Wayne featuring Static Major	1	Hip Hop / RnB
Look at Me Now	Chris Brown	1	Hip Hop / RnB
Look at Me Now	Chris Brown featuring Lil Wayne & Busta Rhymes	1	Hip Hop / RnB
Looking at the Front Door	Main Source	1	Hip Hop / RnB
Loosey's Rap	Rick James	1	Hip Hop / RnB
Lost Without U	Robin Thicke	1	Hip Hop / RnB
Lotus Flower Bomb	Wale featuring Miguel	1	Hip Hop / RnB
Love in This Club	Usher featuring Young Jeezy	1	Hip Hop / RnB
Love Makes Things Happen	Pebbles and Babyface	1	Hip Hop / RnB
Love Me Down	Freddie Jackson	1	Hip Hop / RnB
Love of My Life (An Ode to Hip-Hop)	Erykah Badu featuring Common	1	Hip Hop / RnB
Love on Top	Beyoncé	1	Hip Hop / RnB
Love Overboard	Gladys Knight & the Pips	1	Hip Hop / RnB
Love Saw It	Karyn White	1	Hip Hop / RnB
Love Takes Time	Mariah Carey	1	Hip Hop / RnB
Love the Way You Lie	Eminem	1	Hip Hop / RnB
Loverboy	Mariah Carey featuring Cameo	1	Hip Hop / RnB
Lovers and Friends	Lil Jon & the East Side Boyz featuring Usher and Ludacris	1	Hip Hop / RnB
Low	Flo Rida featuring T-Pain	1	Hip Hop / RnB
Loyal	Chris Brown featuring Lil Wayne and Tyga	1	Hip Hop / RnB
Lucid Dreams	Juice Wrld	1	Hip Hop / RnB
Lucky Charm	The Boys	1	Hip Hop / RnB
Luv U Better	LL Cool J	1	Hip Hop / RnB
Magic Stick	Lil' Kim featuring 50 Cent	1	Hip Hop / RnB
Make It Like It Was	Regina Belle	1	Hip Hop / RnB
Make Me Better	Fabolous featuring Ne-Yo	1	Hip Hop / RnB
Make Me Proud	Drake	1	Hip Hop / RnB
Make Me Proud	Drake featuring Nicki Minaj	1	Hip Hop / RnB
Mama Said Knock You Out	LL Cool J	1	Hip Hop / RnB
Man in the Mirror	Michael Jackson	1	Hip Hop / RnB
Maria Maria	Santana featuring The Product G&B	1	Hip Hop / RnB
Marvin & Chardonnay	Big Sean featuring Kanye West & Roscoe Dash	1	Hip Hop / RnB
Me & U	Cassie	1	Hip Hop / RnB
Me Myself and I	De La Soul	1	Hip Hop / RnB
Me So Horny	2 Live Crew	1	Hip Hop / RnB
Me, Myself & I	G-Eazy	1	Hip Hop / RnB
Mercedes Boy	Pebbles	1	Hip Hop / RnB
Mercy	Kanye West	1	Hip Hop / RnB
Mercy	Kanye West featuring Big Sean, Pusha T, & 2 Chainz	1	Hip Hop / RnB
Miss Independent	Ne-Yo	1	Hip Hop / RnB
Miss You	Aaliyah	1	Hip Hop / RnB
Miss You Like Crazy	Natalie Cole	1	Hip Hop / RnB
Miss You Much	Janet Jackson	1	Hip Hop / RnB
Missing You	Case	1	Hip Hop / RnB
Misunderstanding	Al B. Sure!	1	Hip Hop / RnB
Moment 4 Life	Nicki Minaj	1	Hip Hop / RnB
Moment 4 Life	Nicki Minaj featuring Drake	1	Hip Hop / RnB
Mona Lisa	Lil Wayne	1	Hip Hop / RnB
Money Maker	Ludacris featuring Pharrell	1	Hip Hop / RnB
Monie in the Middle	Monie Love	1	Hip Hop / RnB
Motivation	Kelly Rowland featuring Lil Wayne	1	Hip Hop / RnB
Move Somethin'	Talib Kweli	1	Hip Hop / RnB
Move Somethin'	Talib Kweli and Hi-Tek (Reflection Eternal)	1	Hip Hop / RnB
Ms. Jackson	Outkast	1	Hip Hop / RnB
Murder Rap	Above the Law	1	Hip Hop / RnB
My Baby	Lil' Romeo	1	Hip Hop / RnB
My Body	LSG	1	Hip Hop / RnB
My Boo	Usher and Alicia Keys	1	Hip Hop / RnB
My Fantasy	Teddy Riley	1	Hip Hop / RnB
My Fantasy	Teddy Riley featuring Guy	1	Hip Hop / RnB
My First Love	Atlantic Starr	1	Hip Hop / RnB
My Last	Big Sean	1	Hip Hop / RnB
My Lovin' (You're Never Gonna Get It)	En Vogue	1	Hip Hop / RnB
My Prerogative	Bobby Brown	1	Hip Hop / RnB
My Projects	Coo Coo Cal	1	Hip Hop / RnB
My Way	Fetty Wap featuring Monty	1	Hip Hop / RnB
My, My, My	Johnny Gill	1	Hip Hop / RnB
Need U Bad	Jazmine Sullivan	1	Hip Hop / RnB
Never Gonna Let You Go	Faith Evans	1	Hip Hop / RnB
Never Make a Promise	Dru Hill	1	Hip Hop / RnB
New Flame	Chris Brown featuring Usher & Rick Ross	1	Hip Hop / RnB
New Jack Swing	Wrecks-n-Effect	1	Hip Hop / RnB
Nice 'N' Slow	Freddie Jackson	1	Hip Hop / RnB
Nice and Slow	Usher	1	Hip Hop / RnB
Nice for What	Drake	1	Hip Hop / RnB
Niggas in Paris	Jay-Z	1	Hip Hop / RnB
Niggas in Paris	Jay-Z and Kanye West	1	Hip Hop / RnB
Nite and Day	Al B. Sure!	1	Hip Hop / RnB
No Diggity	Blackstreet featuring Dr. Dre	1	Hip Hop / RnB
No Hands	Waka Flocka Flame	1	Hip Hop / RnB
No Lie	2 Chainz	1	Hip Hop / RnB
No Lie	2 Chainz featuring Drake	1	Hip Hop / RnB
No More	Ruff Endz	1	Hip Hop / RnB
No One	Alicia Keys	1	Hip Hop / RnB
No Scrubs	TLC	1	Hip Hop / RnB
No, No, No	Destiny's Child	1	Hip Hop / RnB
Nobody	Keith Sweat featuring Athena Cage	1	Hip Hop / RnB
Nobody's Supposed to Be Here	Deborah Cox	1	Hip Hop / RnB
Not Gon' Cry	Mary J. Blige	1	Hip Hop / RnB
Nothin' on You	B.o.B	1	Hip Hop / RnB
Nuthin' But a 'G' Thang	Dr. Dre	1	Hip Hop / RnB
Oasis	Roberta Flack	1	Hip Hop / RnB
Off on Your Own (Girl)	Al B. Sure!	1	Hip Hop / RnB
Oh Boy	Cam'ron featuring Juelz Santana	1	Hip Hop / RnB
Oh Boy / The ROC (Just Fire)	Cam'ron featuring Juelz Santana / Cam'ron featuring Beanie Sigel and Memphis Bleek	1	Hip Hop / RnB
Oh No	Mos Def	1	Hip Hop / RnB
Oh No	Mos Def and Pharoahe Monch featuring Nate Dogg	1	Hip Hop / RnB
Old Town Road	Lil Nas X	1	Hip Hop / RnB
On & On	Erykah Badu	1	Hip Hop / RnB
On Our Own	Bobby Brown	1	Hip Hop / RnB
One Call Away	Chingy featuring J-Weav	1	Hip Hop / RnB
One More Chance / Stay with Me	The Notorious B.I.G.	1	Hip Hop / RnB
One More Try	George Michael	1	Hip Hop / RnB
Only	Nicki Minaj	1	Hip Hop / RnB
Only	Nicki Minaj featuring Drake, Lil Wayne & Chris Brown	1	Hip Hop / RnB
Ooo La La La	Teena Marie	1	Hip Hop / RnB
Oops (Oh My)	Tweet featuring Missy Elliott	1	Hip Hop / RnB
Over	Drake	1	Hip Hop / RnB
Overnight Celebrity	Twista	1	Hip Hop / RnB
P.I.M.P.	50 Cent	1	Hip Hop / RnB
Panda	Desiigner	1	Hip Hop / RnB
Papers	Usher	1	Hip Hop / RnB
Paradise	Sade	1	Hip Hop / RnB
Party Like a Rockstar	Shop Boyz	1	Hip Hop / RnB
Planes	Jeremih featuring J. Cole	1	Hip Hop / RnB
Please Me	Cardi B	1	Hip Hop / RnB
Poison	Bell Biv DeVoe	1	Hip Hop / RnB
Pony	Ginuwine	1	Hip Hop / RnB
Pop Goes the Weasel	3rd Bass	1	Hip Hop / RnB
Pour It Up	Rihanna	1	Hip Hop / RnB
Power of Love/Love Power	Luther Vandross	1	Hip Hop / RnB
Power Trip	J. Cole featuring Miguel	1	Hip Hop / RnB
Practice What You Preach	Barry White	1	Hip Hop / RnB
Pretty Wings	Maxwell	1	Hip Hop / RnB
Private Line	Gerald Levert	1	Hip Hop / RnB
Promise	Ciara	1	Hip Hop / RnB
Promise	Jagged Edge	1	Hip Hop / RnB
Psycho	Post Malone	1	Hip Hop / RnB
Pullin' Me Back	Chingy featuring Tyrese	1	Hip Hop / RnB
Purple Pills	D12	1	Hip Hop / RnB
Put On	Young Jeezy featuring Kanye West	1	Hip Hop / RnB
Raise Up	Petey Pablo	1	Hip Hop / RnB
Rap God	Eminem	1	Hip Hop / RnB
Ready or Not	After 7	1	Hip Hop / RnB
Real Love	Jody Watley	1	Hip Hop / RnB
Real Love	Mary J. Blige	1	Hip Hop / RnB
Real Love	Skyy	1	Hip Hop / RnB
Remember (The First Time)	Eric Gable	1	Hip Hop / RnB
Remember the Time	Michael Jackson	1	Hip Hop / RnB
Rhythm Nation	Janet Jackson	1	Hip Hop / RnB
Right Above It	Lil Wayne	1	Hip Hop / RnB
Right Here/Human Nature	SWV	1	Hip Hop / RnB
Right Now	Al B. Sure!	1	Hip Hop / RnB
Right Thurr	Chingy	1	Hip Hop / RnB
Rise 'n' Shine	Kool Moe Dee	1	Hip Hop / RnB
Rockstar	Post Malone	1	Hip Hop / RnB
Romantic	Karyn White	1	Hip Hop / RnB
Roses Are Red	The Mac Band	1	Hip Hop / RnB
Round and Round	Jonell featuring Method Man	1	Hip Hop / RnB
Roxanne	Arizona Zervas	1	Hip Hop / RnB
Rub You the Right Way	Johnny Gill	1	Hip Hop / RnB
Run It!	Chris Brown	1	Hip Hop / RnB
Run This Town	Jay-Z featuring Rihanna and Kanye West	1	Hip Hop / RnB
Runaway Love	Ludacris featuring Mary J. Blige	1	Hip Hop / RnB
Running Back to You	Vanessa Williams	1	Hip Hop / RnB
Sad!	XXXTentacion	1	Hip Hop / RnB
Satisfy You	Puff Daddy featuring R. Kelly	1	Hip Hop / RnB
Save the Best For Last	Vanessa Williams	1	Hip Hop / RnB
Say Goodbye	Chris Brown	1	Hip Hop / RnB
Say My Name	Destiny's Child	1	Hip Hop / RnB
Say Something	Timbaland	1	Hip Hop / RnB
Say Something	Timbaland featuring Drake	1	Hip Hop / RnB
See You Again	Wiz Khalifa	1	Hip Hop / RnB
See You Again	Wiz Khalifa featuring Charlie Puth	1	Hip Hop / RnB
Self-Destruction	Stop the Violence Movement	1	Hip Hop / RnB
Sensitivity	Ralph Tresvant	1	Hip Hop / RnB
Separated	Avant	1	Hip Hop / RnB
Sex Therapy	Robin Thicke	1	Hip Hop / RnB
Shake Ya Tailfeather	Nelly, P. Diddy and Murphy Lee	1	Hip Hop / RnB
Shawty	Plies featuring T-Pain	1	Hip Hop / RnB
She's On the Left	Jeffrey Osborne	1	Hip Hop / RnB
She Will	Lil Wayne featuring Drake	1	Hip Hop / RnB
Shortie Like Mine	Bow Wow featuring Chris Brown and Johntá Austin	1	Hip Hop / RnB
Shoulder Lean	Young Dro featuring T.I.	1	Hip Hop / RnB
Show and Tell	Peabo Bryson	1	Hip Hop / RnB
Shower Me With Your Love	Surface	1	Hip Hop / RnB
Sicko Mode	Travis Scott	1	Hip Hop / RnB
Single Ladies (Put a Ring on It)	Beyoncé	1	Hip Hop / RnB
Slow Dance (Hey Mr. DJ)	R. Kelly and Public Announcement	1	Hip Hop / RnB
Slow Down	Bobby Valentino	1	Hip Hop / RnB
Slow Jamz	Twista featuring Kanye West and Jamie Foxx	1	Hip Hop / RnB
Slow Motion	Juvenile featuring Soulja Slim	1	Hip Hop / RnB
Smooth Operator	Big Daddy Kane	1	Hip Hop / RnB
Snap Yo Fingers	Lil Jon featuring E-40 and Sean Paul of the YoungbloodZ	1	Hip Hop / RnB
So Gone	Monica	1	Hip Hop / RnB
So You Like What You See	Samuelle	1	Hip Hop / RnB
Somebody for Me	Heavy D & the Boyz	1	Hip Hop / RnB
Something in the Way (You Make Me Feel)	Stephanie Mills	1	Hip Hop / RnB
Soul Survivor	Young Jeezy featuring Akon	1	Hip Hop / RnB
Souljas	Master P	1	Hip Hop / RnB
Spend My Life with You	Eric Benet featuring Tamia	1	Hip Hop / RnB
Spotlight	Jennifer Hudson	1	Hip Hop / RnB
Spread My Wings	Troop	1	Hip Hop / RnB
Stand Up	Ludacris featuring Shawnna	1	Hip Hop / RnB
Start of a Romance	Skyy	1	Hip Hop / RnB
Started from the Bottom	Drake	1	Hip Hop / RnB
Stay	Jodeci	1	Hip Hop / RnB
Step in the Name of Love	R. Kelly	1	Hip Hop / RnB
Studio	Schoolboy Q featuring BJ the Chicago Kid	1	Hip Hop / RnB
Stutter	Joe featuring Mystikal	1	Hip Hop / RnB
Sucker for Pain	Lil Wayne	1	Hip Hop / RnB
Suit & Tie	Justin Timberlake featuring Jay-Z	1	Hip Hop / RnB
Summer Sixteen	Drake	1	Hip Hop / RnB
Summertime	DJ Jazzy Jeff & The Fresh Prince	1	Hip Hop / RnB
Sunflower (Spider-Man: Into the Spider-Verse)	Post Malone	1	Hip Hop / RnB
Superwoman	Karyn White	1	Hip Hop / RnB
Sure Thing	Miguel	1	Hip Hop / RnB
Sweet November	Troop	1	Hip Hop / RnB
Take a Bow	Rihanna	1	Hip Hop / RnB
Talk Dirty	Jason Derulo featuring 2 Chainz	1	Hip Hop / RnB
Tell Me What You Want Me to Do	Tevin Campbell	1	Hip Hop / RnB
Tender Kisses	Tracie Spencer	1	Hip Hop / RnB
Tender Lover	Babyface	1	Hip Hop / RnB
Tennessee	Arrested Development	1	Hip Hop / RnB
Tha Crossroads	Bone Thugs N Harmony	1	Hip Hop / RnB
Thank God I Found You	Mariah Carey featuring Joe	1	Hip Hop / RnB
Thanks for My Child	Cheryl Pepsii Riley	1	Hip Hop / RnB
That's the Way Love Goes	Janet Jackson	1	Hip Hop / RnB
The Best Things in Life Are Free	Luther Vandross and Janet Jackson	1	Hip Hop / RnB
The Blues	Tony! Toni! Toné!	1	Hip Hop / RnB
The Boomin' System	LL Cool J	1	Hip Hop / RnB
The Boy Is Mine	Brandy and Monica	1	Hip Hop / RnB
The Chubbster	Chubb Rock	1	Hip Hop / RnB
The D.O.C. & The Doctor	The D.O.C.	1	Hip Hop / RnB
The First Night	Monica	1	Hip Hop / RnB
The First Time	Surface	1	Hip Hop / RnB
The Hills	The Weeknd	1	Hip Hop / RnB
The Humpty Dance	Digital Underground	1	Hip Hop / RnB
The Monster	Eminem	1	Hip Hop / RnB
The Monster	Eminem featuring Rihanna	1	Hip Hop / RnB
The Motto	Drake	1	Hip Hop / RnB
The Motto	Drake featuring Lil Wayne	1	Hip Hop / RnB
The Power	Snap!	1	Hip Hop / RnB
The Secret Garden (Sweet Seduction Suite)	Quincy Jones with Al B. Sure!, James Ingram, El DeBarge and Barry White	1	Hip Hop / RnB
The Way You Love Me	Karyn White	1	Hip Hop / RnB
The Way You Make Me Feel	Michael Jackson	1	Hip Hop / RnB
The Way You Move	Outkast featuring Sleepy Brown	1	Hip Hop / RnB
The Worst	Jhené Aiko	1	Hip Hop / RnB
There Goes My Baby	Usher	1	Hip Hop / RnB
Thieves in the Temple	Prince	1	Hip Hop / RnB
This Is America	Childish Gambino	1	Hip Hop / RnB
This Is How We Do It	Montell Jordan	1	Hip Hop / RnB
This Is Why I'm Hot	Mims	1	Hip Hop / RnB
Thrift Shop	Macklemore & Ryan Lewis featuring Wanz	1	Hip Hop / RnB
Thrift Shop	Macklemore and Ryan Lewis	1	Hip Hop / RnB
Throw Sum Mo	Rae Sremmurd featuring Nicki Minaj and Young Thug	1	Hip Hop / RnB
Timber	Pitbull	1	Hip Hop / RnB
Time of Our Lives	Pitbull	1	Hip Hop / RnB
Tipsy	J-Kwon	1	Hip Hop / RnB
Tomorrow (A Better You, A Better Me)	Quincy Jones featuring Tevin Campbell	1	Hip Hop / RnB
Too Close	Next	1	Hip Hop / RnB
Too Good	Drake	1	Hip Hop / RnB
Trap Queen	Fetty Wap	1	Hip Hop / RnB
Treat 'Em Right	Chubb Rock	1	Hip Hop / RnB
Treat Them Like They Want to Be Treated	Father MC	1	Hip Hop / RnB
Truffle Butter	Nicki Minaj featuring Drake and Lil Wayne	1	Hip Hop / RnB
Truth Hurts	Lizzo	1	Hip Hop / RnB
Tuesday	ILoveMakonnen featuring Drake	1	Hip Hop / RnB
Tumblin' Down	Ziggy Marley and the Melody Makers	1	Hip Hop / RnB
Turned Away	Chuckii Booker	1	Hip Hop / RnB
Twisted	Keith Sweat	1	Hip Hop / RnB
U Can't Touch This	MC Hammer	1	Hip Hop / RnB
U Got It Bad	Usher	1	Hip Hop / RnB
U Know What's Up	Donell Jones featuring Lisa Left Eye Lopes	1	Hip Hop / RnB
U Remind Me	Usher	1	Hip Hop / RnB
Uhh Ahh	Boyz II Men	1	Hip Hop / RnB
Un-Thinkable (I'm Ready)	Alicia Keys	1	Hip Hop / RnB
Understanding	Xscape	1	Hip Hop / RnB
Unforgettable	French Montana	1	Hip Hop / RnB
Untouchable	Above the Law	1	Hip Hop / RnB
Vision of Love	Mariah Carey	1	Hip Hop / RnB
Watch Me (Whip/Nae Nae)	Silentó	1	Hip Hop / RnB
We're All in the Same Gang	The West Coast Rap All-Stars	1	Hip Hop / RnB
We Belong Together	Mariah Carey	1	Hip Hop / RnB
We Can't Be Friends	Deborah Cox featuring R.L.	1	Hip Hop / RnB
We Fly High	Jim Jones	1	Hip Hop / RnB
Weak	SWV	1	Hip Hop / RnB
What's It Gonna Be?!	Busta Rhymes featuring Janet	1	Hip Hop / RnB
What Would You Do?	City High	1	Hip Hop / RnB
What You Know	T.I.	1	Hip Hop / RnB
Whatever You Like	T.I.	1	Hip Hop / RnB
Whatever You Want	Tony! Toni! Toné!	1	Hip Hop / RnB
When I See U	Fantasia	1	Hip Hop / RnB
Where Do We Go from Here	Stacy Lattisaw with Johnny Gill	1	Hip Hop / RnB
Where the Party At	Jagged Edge with Nelly	1	Hip Hop / RnB
Whistle While You Twurk	Ying Yang Twins	1	Hip Hop / RnB
Who Can I Run To	Xscape	1	Hip Hop / RnB
Whoomp! (There It Is)	Tag Team	1	Hip Hop / RnB
Wifey	Next	1	Hip Hop / RnB
Wiggle	Jason Derulo featuring Snoop Dogg	1	Hip Hop / RnB
Wishing Well	Terence Trent D'Arby	1	Hip Hop / RnB
Wobble Wobble	504 Boyz	1	Hip Hop / RnB
Work It	Missy Elliott	1	Hip Hop / RnB
Work It	Missy Misdemeanor Elliott	1	Hip Hop / RnB
Wow	Post Malone	1	Hip Hop / RnB
Wrap My Body Tight	Johnny Gill	1	Hip Hop / RnB
Written All Over Your Face	The Rude Boys	1	Hip Hop / RnB
Yeah!	Usher featuring Lil Jon and Ludacris	1	Hip Hop / RnB
You	Lloyd featuring Lil Wayne	1	Hip Hop / RnB
You're Makin' Me High / Let It Flow	Toni Braxton	1	Hip Hop / RnB
You're the One	SWV	1	Hip Hop / RnB
You Are My Everything	Surface	1	Hip Hop / RnB
You Are Not Alone	Michael Jackson	1	Hip Hop / RnB
You Can't Deny It	Lisa Stansfield	1	Hip Hop / RnB
You Can't Play with My Yo-Yo	Yo-Yo	1	Hip Hop / RnB
You Don't Have to Worry	En Vogue	1	Hip Hop / RnB
You Don't Know My Name	Alicia Keys	1	Hip Hop / RnB
You Make Me Wanna...	Usher	1	Hip Hop / RnB
You Remind Me	Mary J. Blige	1	Hip Hop / RnB
You Remind Me of Something	R. Kelly	1	Hip Hop / RnB
You Will Know	Stevie Wonder	1	Hip Hop / RnB
Your Love	Nicki Minaj	1	Hip Hop / RnB
Zeze	Kodak Black	1	Hip Hop / RnB
"Hold Me"	K. T. Oslin	0	Country / Rock
"Change of Heart"	The Judds	0	Country / Rock
"She's Crazy for Leavin'"	Rodney Crowell	0	Country / Rock
"Deeper Than the Holler"	Randy Travis	0	Country / Rock
"What I'd Say"	Earl Thomas Conley	0	Country / Rock
"Song of the South"	Alabama	0	Country / Rock
"Big Wheels in the Moonlight"	Dan Seals	0	Country / Rock
"I Sang Dixie"	Dwight Yoakam	0	Country / Rock
"I Still Believe in You"	The Desert Rose Band	0	Country / Rock
"Don't You Ever Get Tired (Of Hurting Me)"	Ronnie Milsap	0	Country / Rock
"From a Jack to a King"	Ricky Van Shelton	0	Country / Rock
"New Fool at an Old Game"	Reba McEntire	0	Country / Rock
"Baby's Gotten Good at Goodbye"	George Strait	0	Country / Rock
"I'm No Stranger to the Rain"	Keith Whitley	0	Country / Rock
		0	Country / Rock
"The Church on Cumberland Road"	Shenandoah	0	Country / Rock
		0	Country / Rock
