song,artist,hip_hop_rnb,genre,word,n,song_artist,tf,idf,tf_idf
Rub You the Right Way,Johnny Gill,1,RnB / Hip Hop,pump,18,Rub You the Right Way - Johnny Gill,0.08144796380090498,4.808111029984782,0.39161085312093247
Safari Song,Greta Van Fleet,0,Rock / Country,mama,18,Safari Song - Greta Van Fleet,0.16981132075471697,3.3040336332085074,0.5610623150731427
Say Goodbye,Chris Brown,1,RnB / Hip Hop,gotta,18,Say Goodbye - Chris Brown,0.09045226130653267,1.7057690213725325,0.1542906652497768
Simple,Florida Georgia Line,0,Rock / Country,simple,18,Simple - Florida Georgia Line,0.2222222222222222,4.114963849424837,0.914436410983297
Still Frame,Trapt,0,Rock / Country,lost,18,Still Frame - Trapt,0.20930232558139536,2.323204380196781,0.48625207957607053
Tha Crossroads,Bone Thugs N Harmony,1,RnB / Hip Hop,pray,18,Tha Crossroads - Bone Thugs N Harmony,0.06164383561643835,3.5553480614894135,0.21916529146167615
The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1,RnB / Hip Hop,doo,18,The Best Things in Life Are Free - Luther Vandross and Janet Jackson,0.07758620689655173,4.808111029984782,0.3730430971539917
The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1,RnB / Hip Hop,life,18,The Best Things in Life Are Free - Luther Vandross and Janet Jackson,0.07758620689655173,1.4152818979931427,0.10980635415464039
There Goes My Baby,Usher,1,RnB / Hip Hop,baby,18,There Goes My Baby - Usher,0.13636363636363635,0.8616865978393031,0.11750271788717769
What Happens in a Small Town,Brantley Gilbert and Lindsay Ell,0,Rock / Country,town,18,What Happens in a Small Town - Brantley Gilbert and Lindsay Ell,0.1782178217821782,2.8622008809294686,0.5100952065022815
Zombie,Bad Wolves,0,Rock / Country,zombie,18,Zombie - Bad Wolves,0.24,5.501258210544727,1.3203019705307346
A Song for Mama,Boyz II Men,1,RnB / Hip Hop,mama,17,A Song for Mama - Boyz II Men,0.20481927710843373,3.3040336332085074,0.6767297802957184
Always Be My Baby,Mariah Carey,1,RnB / Hip Hop,baby,17,Always Be My Baby - Mariah Carey,0.125,0.8616865978393031,0.10771082472991289
Born for Greatness,Papa Roach,0,Rock / Country,born,17,Born for Greatness - Papa Roach,0.10429447852760736,3.2499664119382317,0.338953552165337
Born for Greatness,Papa Roach,0,Rock / Country,greatness,17,Born for Greatness - Papa Roach,0.10429447852760736,6.194405391104672,0.6460422800538614
Bump n' Grind,R. Kelly,1,RnB / Hip Hop,wrong,17,Bump n' Grind - R. Kelly,0.17708333333333334,1.917739272088617,0.33959966276569264
Californication,Red Hot Chili Peppers,0,Rock / Country,californication,17,Californication - Red Hot Chili Peppers,0.125,6.194405391104672,0.774300673888084
Deal with the Devil,Pop Evil,0,Rock / Country,deal,17,Deal with the Devil - Pop Evil,0.13934426229508196,3.4863551900024623,0.4858035920495234
Deal with the Devil,Pop Evil,0,Rock / Country,devil,17,Deal with the Devil - Pop Evil,0.13934426229508196,3.8918202981106265,0.5423028284252512
Deal with the Devil,Pop Evil,0,Rock / Country,gotta,17,Deal with the Devil - Pop Evil,0.13934426229508196,1.7057690213725325,0.23768912592895944
Don't Be Afraid,Aaron Hall,1,RnB / Hip Hop,baby,17,Don't Be Afraid - Aaron Hall,0.11258278145695365,0.8616865978393031,0.09701107392892817
Edge of a Revolution,Nickelback,0,Rock / Country,revolution,17,Edge of a Revolution - Nickelback,0.11805555555555555,5.095793102436563,0.6015866857043164
Eyes on You,Chase Rice,0,Rock / Country,eyes,17,Eyes on You - Chase Rice,0.18888888888888888,1.6196944126012895,0.30594227793579915
Get Busy,Sean Paul,1,RnB / Hip Hop,yo,17,Get Busy - Sean Paul,0.0389908256880734,2.8622008809294686,0.11159957563257103
Happy?,Mudvayne,0,Rock / Country,happy,17,Happy? - Mudvayne,0.15454545454545454,3.421816668864891,0.5288262124609378
Hot in Here,Nelly,1,RnB / Hip Hop,gettin,17,Hot in Here - Nelly,0.053125,2.793208009442517,0.14838917550163372
Hot in Herre,Nelly,1,RnB / Hip Hop,gettin,17,Hot in Herre - Nelly,0.054838709677419356,2.793208009442517,0.15317592309846062
I'll Give All My Love to You,Keith Sweat,1,RnB / Hip Hop,love,17,I'll Give All My Love to You - Keith Sweat,0.12686567164179105,0.6729444732424258,0.08537355257553163
I'm Dreamin',Christopher Williams,1,RnB / Hip Hop,wake,17,I'm Dreamin' - Christopher Williams,0.1440677966101695,3.361192047048456,0.48423953220189625
